,year,state_fips_code,county_fips_code,pred_grams_oxy
0,2013,12,33,343121.5224658839
1,2013,12,53,325296.8635253558
2,2013,12,57,466027.0156758467
3,2013,12,91,321912.8285668537
4,2013,12,123,90951.93245375184
5,2013,12,129,105975.80467977162
6,2013,13,187,104537.01823608184
7,2013,13,189,135347.33395515356
8,2013,13,201,85630.21292341412
9,2013,13,211,106105.93294334337
10,2013,13,149,101019.141377797
11,2013,13,219,105457.03535608477
12,2013,13,95,123981.30179527075
13,2013,13,111,110749.15486637008
14,2013,13,151,327937.88707026717
15,2013,13,153,340657.8434956814
16,2013,13,175,105755.87796793711
17,2013,13,183,113758.89422980299
18,2013,13,255,145608.16144527073
19,2013,13,257,118010.78481166446
20,2013,13,271,111838.91005235584
21,2013,13,293,99018.8673470201
22,2013,13,303,98046.30694829272
23,2013,13,225,117641.30729767372
24,2013,13,229,98386.66966344691
25,2013,13,231,105419.52930214044
26,2013,13,251,115975.86805888926
27,2013,13,267,90672.82408429081
28,2013,13,295,124166.24397016148
29,2013,13,135,406541.76888515154
30,2013,13,49,93127.48306004242
31,2013,13,15,305794.2846909793
32,2013,13,97,349365.40019943664
33,2013,13,161,98016.40701220908
34,2013,13,141,113052.32494299825
35,2013,13,37,74960.55819820956
36,2013,13,285,127150.99959557207
37,2013,13,197,92611.39461580706
38,2013,13,249,93987.81343346057
39,2013,13,23,115532.53429996785
40,2013,13,109,86406.14658195068
41,2013,13,119,121256.97761941953
42,2013,13,103,110854.58867729189
43,2013,13,171,131286.8190411184
44,2013,13,107,115446.75266275037
45,2013,13,239,82003.97625090038
46,2013,13,159,117124.45088188743
47,2013,13,173,116245.12281120179
48,2013,13,179,123686.7434739721
49,2013,13,205,97899.19478075257
50,2013,13,253,96160.32395125908
51,2013,13,289,111824.95059197747
52,2013,13,233,117150.57068502429
53,2013,13,269,112880.29298237347
54,2013,13,275,119306.75943294313
55,2013,13,279,114152.01449258663
56,2013,13,209,111129.73583844342
57,2013,13,221,106917.02521764468
58,2013,13,247,299524.5425771972
59,2013,13,305,97211.54866569176
60,2013,13,309,103497.04431900085
61,2013,13,9,123670.71621299296
62,2013,18,61,116681.13000407082
63,2013,18,169,86842.54741179632
64,2013,18,75,87773.40084599069
65,2013,18,127,298191.4726819576
66,2013,18,147,103312.90431425127
67,2013,18,157,351837.8693418244
68,2013,18,57,327629.9597054208
69,2013,18,87,99204.43382916806
70,2013,18,11,256449.0091072797
71,2013,18,107,108872.48123549302
72,2013,18,19,342914.9805669894
73,2013,18,21,92279.36161396338
74,2013,18,47,103742.45878442947
75,2013,18,71,111925.63567524303
76,2013,18,129,95968.02099202508
77,2013,18,165,100870.72168384306
78,2013,18,3,335549.0976303029
79,2013,18,43,285165.8942899972
80,2013,18,81,287114.15353576624
81,2013,18,51,106041.97037094712
82,2013,18,117,98024.12728773849
83,2013,18,99,105728.87624735676
84,2013,18,9,96970.63174179035
85,2013,18,143,98080.4112964347
86,2013,18,39,305472.703425918
87,2013,18,17,90904.14494218206
88,2013,13,21,364422.35525922594
89,2013,18,177,209359.53897325933
90,2013,19,23,84521.28537802985
91,2013,19,79,80507.49446562571
92,2013,19,175,73613.53370254656
93,2013,19,195,78622.10494199916
94,2013,19,1,71677.67441470349
95,2013,19,37,73104.20121681532
96,2013,19,59,95302.76657288875
97,2013,19,69,73383.01241548137
98,2013,19,31,89667.80074017523
99,2013,19,67,78011.31646133226
100,2013,19,115,77709.29234698042
101,2013,19,91,74753.34322877259
102,2013,19,183,96064.03489401958
103,2013,19,35,73676.65722432348
104,2013,19,57,90936.9376818867
105,2013,19,109,73348.63611284064
106,2013,19,139,102119.60497712712
107,2013,19,153,349003.2467776984
108,2013,19,107,73585.4390002776
109,2013,19,171,91638.40210577748
110,2013,21,225,88343.7485511271
111,2013,21,35,109157.73728959686
