,year,state_fips_code,county_fips_code,pred_grams_hydro
0,2013,12,33,210344.9473724826
1,2013,12,53,194932.73893536202
2,2013,12,57,222668.0340643469
3,2013,12,91,187205.1192501582
4,2013,12,123,30367.633702336556
5,2013,12,129,197088.34697508396
6,2013,13,187,200586.0049871369
7,2013,13,189,98584.0688491537
8,2013,13,201,27424.750934691663
9,2013,13,211,203766.75863735573
10,2013,13,149,28687.627256095144
11,2013,13,219,193409.64037318656
12,2013,13,95,75603.38019231315
13,2013,13,111,204165.2740896119
14,2013,13,151,200401.83325198077
15,2013,13,153,192011.85685783438
16,2013,13,175,52347.357448321265
17,2013,13,183,198177.468894776
18,2013,13,255,189757.27578000404
19,2013,13,257,100142.00109082049
20,2013,13,271,30868.680911268795
21,2013,13,293,32021.98834579841
22,2013,13,303,30497.228739409424
23,2013,13,225,202466.80846459646
24,2013,13,229,30775.130322761168
25,2013,13,231,196945.01936868354
26,2013,13,251,30672.12811796104
27,2013,13,267,31880.140069985227
28,2013,13,295,102089.05782839628
29,2013,13,135,219152.00118154305
30,2013,13,49,28006.32878703948
31,2013,13,15,195304.879448662
32,2013,13,97,187481.95131550106
33,2013,13,161,29928.051646210566
34,2013,13,141,28608.22868828851
35,2013,13,37,27917.790464519778
36,2013,13,285,197510.31124149534
37,2013,13,197,28269.449201322896
38,2013,13,249,27356.16985286285
39,2013,13,23,29367.840688750137
40,2013,13,109,29166.75938007453
41,2013,13,119,194449.09976058573
42,2013,13,103,185425.08077281722
43,2013,13,171,200998.67108792238
44,2013,13,107,32660.943399269294
45,2013,13,239,26962.260331001566
46,2013,13,159,202240.9006271557
47,2013,13,173,194503.18896149285
48,2013,13,179,196043.327682162
49,2013,13,205,31076.80698959036
50,2013,13,253,27980.225655860097
51,2013,13,289,28311.8487770601
52,2013,13,233,137616.22863116587
53,2013,13,269,28040.751320367857
54,2013,13,275,206005.39987037517
55,2013,13,279,34539.793117645
56,2013,13,209,27425.62634284693
57,2013,13,221,205508.85093828995
58,2013,13,247,188316.81232713445
59,2013,13,305,34612.28449913455
60,2013,13,309,26479.4987314241
61,2013,13,9,69701.20694359206
62,2013,18,61,185785.52257935225
63,2013,18,169,32662.53897539122
64,2013,18,75,13089.268020656682
65,2013,18,127,186240.6893264697
66,2013,18,147,191660.06840733203
67,2013,18,157,198937.2872453953
68,2013,18,57,207136.06403360382
69,2013,18,87,199332.00208681897
70,2013,18,11,185530.80343288768
71,2013,18,107,136174.33693355354
72,2013,18,19,191013.256106903
73,2013,18,21,22683.559126936652
74,2013,18,47,193781.2941100345
75,2013,18,71,186916.0622528612
76,2013,18,129,194232.22208839055
77,2013,18,165,11568.977026768976
78,2013,18,3,217294.52155107152
79,2013,18,43,186832.15422256774
80,2013,18,81,186436.4171204697
81,2013,18,51,85422.62691146835
82,2013,18,117,12717.672702249665
83,2013,18,99,190261.5148982512
84,2013,18,9,9155.247738158952
85,2013,18,143,47638.60829405081
86,2013,18,39,201096.86040826197
87,2013,18,17,41718.61711131094
88,2013,13,21,201797.11855360348
89,2013,18,177,77126.57767161226
90,2013,19,23,22089.67900613819
91,2013,19,79,27317.3112926253
92,2013,19,175,9152.317986077052
93,2013,19,195,7690.671105085467
94,2013,19,1,8357.145757685
95,2013,19,37,8676.414627801903
96,2013,19,59,193888.84248711824
97,2013,19,69,27296.08559849055
98,2013,19,31,194164.22572582224
99,2013,19,67,9731.755269724648
100,2013,19,115,27910.10225627949
101,2013,19,91,8073.184895045631
102,2013,19,183,197279.57522067253
103,2013,19,35,8570.947368418816
104,2013,19,57,39783.02090626155
105,2013,19,109,8750.052495639911
106,2013,19,139,187527.43466263518
107,2013,19,153,216523.1853837363
108,2013,19,107,8223.87434622144
109,2013,19,171,46505.50675930549
110,2013,21,225,30262.516332811356
111,2013,21,35,198751.23997393518
112,2013,13,11,206701.22064048905
113,2013,13,31,198623.7831155694
114,2013,13,59,204476.56519647897
115,2013,13,61,27607.296768004155
116,2013,13,101,27495.963639391215
117,2013,13,127,195662.63853316204
118,2013,13,89,223238.82696053595
119,2013,13,143,103058.398417308
120,2013,13,157,186393.01020876775
121,2013,13,163,29055.861473354696
122,2013,13,169,197136.07141493235
123,2013,13,181,53534.26894153615
124,2013,13,213,51515.72430601503
125,2013,13,215,207888.47086798254
126,2013,13,235,26542.791017913074
127,2013,13,241,201229.64502089392
128,2013,13,259,27554.843940571453
129,2013,13,281,198316.45897950223
130,2013,13,283,28029.28000678413
131,2013,13,287,26843.790770639083
132,2013,13,3,28793.32956651716
133,2013,13,1,33183.79345720633
134,2013,13,25,31025.88567332113
135,2013,13,17,31291.490282935094
136,2013,13,47,194353.3700758953
