,year,FIPS_CODE,pred_qty_oxy
0,2006,1001,11059.956672538803
1,2006,1003,83476.10775494449
2,2006,1005,2933.86587269995
3,2006,1015,1084.5584191552628
4,2006,1017,4505.296267208073
5,2006,1023,715.718009491053
6,2006,1025,7340.52244237508
7,2006,1037,1464.880303560433
8,2006,1041,457.60975892679375
9,2006,1043,448.50221431075215
10,2006,1047,5829.969122076198
11,2006,1049,1970.5131504132712
12,2006,1051,52618.06075746638
13,2006,1053,4137.463013330733
14,2006,1055,3812.2746867087844
15,2006,1059,2850.310365802581
16,2006,1061,735.054073031561
17,2006,1063,1757.6423077650734
18,2006,1065,65147.95349575625
19,2006,1069,1232.1050024483288
20,2006,1071,4370.695085263797
21,2006,1073,60454.43514466126
22,2006,1077,562.9780635077727
23,2006,1079,20283.075882934118
24,2006,1081,1612.676396861737
25,2006,1083,1285.6660231093688
26,2006,1085,8540.983142855051
27,2006,1087,10406.791696806324
28,2006,1089,49957.35060233036
29,2006,1091,1582.860717009984
30,2006,1093,9937.328556301474
31,2006,1095,1487.031497155791
32,2006,1097,4051.8874042069538
33,2006,1099,1879.9920161397324
34,2006,1101,1235.7942586795373
35,2006,1103,1580.790830252653
36,2006,1105,454.1663026961256
37,2006,1107,9253.422618380015
38,2006,1109,561.7548808626924
39,2006,1111,1559.0696364604705
40,2006,1113,4631.941650189188
41,2006,1115,5839.215571347928
42,2006,1117,4990.1617155983895
43,2006,1119,2656.8277883121964
44,2006,1121,10883.277463387994
45,2006,1123,124796.53118930945
46,2006,1125,2504.8063319789267
47,2006,1127,1390.5023094158814
48,2006,1129,735.9283694578081
49,2006,1131,3708.499058932498
50,2006,1133,3458.473481722689
51,2006,2013,1540.2508708558587
52,2006,2016,3765.397844544263
53,2006,2020,19539.05475370303
54,2006,2050,8379.862862239826
55,2006,2068,4790.475009400888
56,2006,2090,25003.814537215796
57,2006,2100,20982.904027363336
58,2006,2110,11529.397110056276
59,2006,2122,3780.853991905123
60,2006,2130,3750.5165863832576
61,2006,2150,6401.483275463447
62,2006,2170,1112.6677715389942
63,2006,2185,5094.585832379874
64,2006,2188,3375.5097634076537
65,2006,2220,1566.3062000441676
66,2006,2240,2123.8206038386897
67,2006,2261,21017.042085183224
68,2006,4001,16453.435804585195
69,2006,4003,5853.944139620536
70,2006,4005,1678.2495565530078
71,2006,4007,154859.6390048221
72,2006,4009,130419.7117858905
73,2006,4011,5340.331856088967
