,year,state_fips_code,county_fips_code,pred_qty_hydro
0,2013,12,33,138946.4434387598
1,2013,12,53,94246.26059042232
2,2013,12,57,216152.439441848
3,2013,12,91,74791.7971934459
4,2013,12,123,25792.963368464232
5,2013,12,129,37836.49082996728
6,2013,13,187,42401.27640232892
7,2013,13,189,34486.1268532863
8,2013,13,201,22224.708446598477
9,2013,13,211,37271.171153402975
10,2013,13,149,24760.24824582797
11,2013,13,219,38918.08354489093
12,2013,13,95,92578.63808140498
13,2013,13,111,39132.61930647488
14,2013,13,151,71790.40868582697
15,2013,13,153,74633.46386011258
16,2013,13,175,64639.84091209629
17,2013,13,183,36372.065125599176
18,2013,13,255,80587.28450537477
19,2013,13,257,37701.778841864376
20,2013,13,271,25570.582501459732
21,2013,13,293,29775.783977867115
22,2013,13,303,27246.65306570496
23,2013,13,225,40125.05556899558
24,2013,13,229,25781.362796775044
25,2013,13,231,33384.76129702654
26,2013,13,251,25405.917354583988
27,2013,13,267,28078.649853564188
28,2013,13,295,76887.97308947984
29,2013,13,135,211049.26796289824
30,2013,13,49,22184.584177757446
31,2013,13,15,88726.54379236978
32,2013,13,97,82398.41085644957
33,2013,13,161,24857.941142023603
34,2013,13,141,23320.970684871958
35,2013,13,37,22066.663679745496
36,2013,13,285,81158.83302019359
37,2013,13,197,22609.095056757986
38,2013,13,249,21904.660138424973
39,2013,13,23,24109.20048294324
40,2013,13,109,24266.257990604037
41,2013,13,119,38424.8593741461
42,2013,13,103,69448.20006879164
43,2013,13,171,36943.99004959861
44,2013,13,107,28660.93478238689
45,2013,13,239,21325.88479366425
46,2013,13,159,36449.66391947999
47,2013,13,173,35792.98931652368
48,2013,13,179,79591.41189083268
49,2013,13,205,28627.507177507843
50,2013,13,253,24203.92100613835
51,2013,13,289,23171.71654068434
52,2013,13,233,70497.5206557942
53,2013,13,269,23805.606860901575
54,2013,13,275,75631.34096208744
55,2013,13,279,29691.788696931737
56,2013,13,209,23172.494274531364
57,2013,13,221,34254.53835979067
58,2013,13,247,84522.19300689203
59,2013,13,305,29787.384549556304
60,2013,13,309,22212.537103082483
61,2013,13,9,70936.4706557942
62,2013,18,61,35189.647606253726
63,2013,18,169,27023.978703507506
64,2013,18,75,18921.88439016216
65,2013,18,127,76235.18386011258
66,2013,18,147,27556.76022778147
67,2013,18,157,121563.3023983558
68,2013,18,57,71148.44623437084
69,2013,18,87,41589.32847658349
70,2013,18,11,63746.93333788522
71,2013,18,107,38040.60559904095
72,2013,18,19,97650.84579269408
73,2013,18,21,13428.068624317262
74,2013,18,47,25987.158204700816
75,2013,18,71,70423.93405483059
76,2013,18,129,23753.682527666824
77,2013,18,165,11406.730262837711
78,2013,18,3,142987.9051923975
79,2013,18,43,73989.69552392751
80,2013,18,81,76459.8571934459
81,2013,18,51,32867.11517257183
82,2013,18,117,11950.297287324343
83,2013,18,99,70091.40104551752
84,2013,18,9,7888.797773035954
85,2013,18,143,25023.044794744066
86,2013,18,39,132713.4329652464
87,2013,18,17,29972.102860461
88,2013,13,21,114100.16429071572
89,2013,18,177,89173.12280568652
90,2013,19,23,9463.504472169698
91,2013,19,79,21659.861503957272
92,2013,19,175,7308.186426270708
93,2013,19,195,10073.420608896315
94,2013,19,1,9172.6303110085
95,2013,19,37,7245.680333378837
96,2013,19,59,20639.026786160335
97,2013,19,69,20844.52233728382
98,2013,19,31,22259.65636308886
99,2013,19,67,16281.727397172237
100,2013,19,115,20855.83276366855
101,2013,19,91,6509.426988158217
102,2013,19,183,35062.63415024476
103,2013,19,35,7013.860124070668
104,2013,19,57,30622.916996681943
105,2013,19,109,7685.691234341569
106,2013,19,139,35684.66654065291
107,2013,19,153,114974.02275508248
108,2013,19,107,9435.148694048317
109,2013,19,171,30379.606226743697
110,2013,21,225,24979.486085063334
111,2013,21,35,40217.58813719695
