,year,FIPS_CODE,pred_mort_with_drugs
0,2006,1001,6.906486882872323
1,2006,1003,2.056809322377216
2,2006,1005,-4.142187502618256
3,2006,1015,16.238797589439397
4,2006,1017,3.569512168785333
5,2006,1023,12.776276483148699
6,2006,1025,0.03757300951964382
7,2006,1037,1.7405603049602618
8,2006,1041,-2.6268091869760735
9,2006,1043,2.2223026072564496
10,2006,1047,-0.030987767341292383
11,2006,1049,-0.9249776866074235
12,2006,1051,15.150259968257757
13,2006,1053,1.3427254297354452
14,2006,1055,61.71832001626437
15,2006,1059,8.004997904940344
16,2006,1061,9.181442820871364
17,2006,1063,6.336301849065672
18,2006,1065,-2.5550319049629646
19,2006,1069,3.891734005856083
20,2006,1071,14.675242619312222
21,2006,1073,-2.7547393787859384
22,2006,1077,0.8981104009604355
23,2006,1079,-3.084462714321786
24,2006,1081,2.51309145845695
25,2006,1083,1.7838354892448969
26,2006,1085,11.769651443516796
27,2006,1087,7.9245680848052995
28,2006,1089,10.001341043663022
29,2006,1091,-3.1399609368969035
30,2006,1093,23.67863551658281
31,2006,1095,-2.1106607864545186
32,2006,1097,0.7907056084713027
33,2006,1099,-5.542482531879424
34,2006,1101,127.65235737439194
35,2006,1103,-4.223372257490212
36,2006,1105,-3.037192124623095
37,2006,1107,4.653499693302604
38,2006,1109,-0.18652892775342522
39,2006,1111,5.1481024369535815
40,2006,1113,57.62401248996298
41,2006,1115,-3.0266813013381597
42,2006,1117,-3.0457579713100635
43,2006,1119,5.027623581549137
44,2006,1121,1.003439153922173
45,2006,1123,-0.18517128320342557
46,2006,1125,-3.2576835614820467
47,2006,1127,2.4072092745598725
48,2006,1129,-3.8238709910555144
49,2006,1131,0.9222990292192943
50,2006,1133,-3.25112897370623
51,2006,2013,32.63592429294687
52,2006,2016,9.853178973261231
53,2006,2020,17.4574900120041
54,2006,2050,0.16571208450550579
55,2006,2068,-2.3482923868166523
56,2006,2090,22.35671363795933
57,2006,2100,13.755112804689135
58,2006,2110,0.5634662954328142
59,2006,2122,-0.6689028503551722
60,2006,2130,0.5223973522431073
61,2006,2150,5.638788992383849
62,2006,2170,3.214994780333903
63,2006,2185,3.6070844112566025
64,2006,2188,2.114125367135756
65,2006,2220,-1.063472187289701
66,2006,2240,-1.0930876974577508
67,2006,2261,0.17693404110915978
68,2006,4001,0.5205380684724723
69,2006,4003,2.6259982880884447
70,2006,4005,-4.563802745520988
71,2006,4007,-3.087013801801449
72,2006,4009,8.225406402295592
73,2006,4011,2.055921764940299
74,2006,4012,-1.715663364250716
75,2006,4013,50.38848426342018
76,2006,4015,4.7883065202417185
77,2006,4017,-2.069629718974177
78,2006,4019,-3.1054206874479995
79,2006,4021,5.902489313550011
80,2006,4023,0.4602422053134809
81,2006,4025,-4.227862398761484
82,2006,4027,2.598456144917277
83,2006,5001,1.9476526106884533
84,2006,5005,5.527091788850545
85,2006,5007,-1.1934030457737546
86,2006,5009,4.026680279915837
87,2006,5013,-2.48732432043254
88,2006,5015,-4.923980720081207
89,2006,5017,-0.09773290853245697
90,2006,5025,1.4048741430220346
91,2006,5029,18.54396056813415
92,2006,5031,2.6346312614915774
93,2006,5037,12.027821624601593
94,2006,5039,6.185490795651248
95,2006,5047,-1.073741810244604
96,2006,5055,1.888067513356555
97,2006,5057,5.929001051500444
98,2006,5061,1.1769834130282462
99,2006,5063,-1.9387010005024532
100,2006,5067,3.936440261378044
101,2006,5069,26.758703730731444
102,2006,5079,3.2334614343529857
103,2006,5081,0.611002667896253
104,2006,5087,1.3275508143210573
105,2006,5089,-0.0811139239042582
106,2006,5091,-4.048726395182552
107,2006,5093,-3.6196331470603234
108,2006,5095,1.1448939517613095
109,2006,5097,42.8290805569862
110,2006,5099,58.967720801841295
111,2006,5101,39.97664880893342
112,2006,5103,69.85349685339011
113,2006,5107,63.86540717490912
114,2006,5109,-0.25580029350640743
115,2006,5111,-3.121045279078654
116,2006,5115,16.822953589629787
117,2006,5117,-3.8934864605505997
118,2006,5119,-5.375025886523549
119,2006,5121,71.59883109935836
120,2006,5123,19.958608589191464
121,2006,5125,-0.1906205826238132
122,2006,5127,102.64712757368665
123,2006,5131,16.331198296933152
124,2006,5133,-0.6754488169431898
125,2006,5135,37.76155521373386
126,2006,5137,9.980242952006588
127,2006,5139,-2.065983656070401
128,2006,5141,2.824250332971533
129,2006,5143,-1.9687394857559468
130,2006,5145,-0.703746856160608
131,2006,5147,50.128137221888764
132,2006,5149,-0.7032827030854367
133,2006,6001,5.664622467987239
134,2006,6003,29.834719164408376
135,2006,6005,1.0096526490496949
136,2006,6007,-2.400485910469648
137,2006,6009,8.468815594804397
138,2006,6013,3.100037263290754
139,2006,6015,7.471237435468462
140,2006,6017,4.355030048186354
141,2006,6019,-1.7005384689245915
142,2006,6021,-4.382607625893213
143,2006,6023,31.58990654401496
144,2006,6025,-0.39959564258377434
145,2006,6027,29.49576882190038
146,2006,6029,10.916953713455491
147,2006,6031,2.3317350663616487
148,2006,6033,-3.6256462162009644
149,2006,6035,5.3792364668478845
150,2006,6037,3.2337298652273905
151,2006,6039,7.194171151918176
152,2006,6041,-3.483559276764602
153,2006,6043,-0.25847732877614327
154,2006,6045,-3.4800347132268374
155,2006,6047,0.46489249639044594
156,2006,6049,1.0092841883423862
157,2006,6051,-1.9850282724995925
158,2006,6053,39.07343180243592
159,2006,6055,-1.7351436488628877
160,2006,6057,-5.040633760625628
161,2006,6059,-2.4310244060257187
162,2006,6061,96.74491726957422
163,2006,6063,2.8622950805730865
164,2006,6065,-0.9914503785313329
