,year,FIPS_CODE,pred_qty_oxy
0,2006,1001,14792.272682150346
1,2006,1003,69223.73062657274
2,2006,1005,10747.395673379064
3,2006,1015,-15382.143175609532
4,2006,1017,1895.3172209389977
5,2006,1023,-7531.935402568115
6,2006,1025,351.8770233594096
7,2006,1037,-10078.89112330435
8,2006,1041,9446.989350376609
9,2006,1043,-9169.205233025508
10,2006,1047,5483.0593109982965
11,2006,1049,-2991.7261017879337
12,2006,1051,15010.158669484097
13,2006,1053,-1280.4180287245745
14,2006,1055,-2275.4382570528487
15,2006,1059,-3604.753133521872
16,2006,1061,7784.376112890781
17,2006,1063,-7452.444516728761
18,2006,1065,81580.01243240469
19,2006,1069,9286.564226182318
20,2006,1071,9983.939250996986
21,2006,1073,54505.81319132818
22,2006,1077,-11779.082978264492
23,2006,1079,2452.5410357800192
24,2006,1081,8535.630307498732
25,2006,1083,-14340.918235810475
26,2006,1085,17338.693133964945
27,2006,1087,18004.32579559368
28,2006,1089,29323.088943305454
29,2006,1091,-7188.257572545588
30,2006,1093,15869.081403969663
31,2006,1095,-7568.969163018262
32,2006,1097,1333.7685323114656
33,2006,1099,-1386.2167980288414
34,2006,1101,17257.547561333304
35,2006,1103,12206.692597901356
36,2006,1105,8024.249926222599
37,2006,1107,11942.046839297387
38,2006,1109,-7774.763068823302
39,2006,1111,6293.268194009566
40,2006,1113,5115.877054465442
41,2006,1115,12035.613537269413
42,2006,1117,3014.724527828921
43,2006,1119,17010.489454730225
44,2006,1121,18798.57338492066
45,2006,1123,86594.79200687587
46,2006,1125,15625.290492599352
47,2006,1127,-6716.889483977733
48,2006,1129,9342.85323623931
49,2006,1131,-222.93347027370874
50,2006,1133,-919.7878997431526
51,2006,2013,-7248.644739919711
52,2006,2016,-2283.1026617381194
53,2006,2020,47203.74050105659
54,2006,2050,6835.2617826410515
55,2006,2068,9431.34754147933
56,2006,2090,28046.726637860316
57,2006,2100,27764.032556250502
58,2006,2110,1314.5401876404994
59,2006,2122,2089.192724500668
60,2006,2130,79.62261174935884
61,2006,2150,17924.14640253265
62,2006,2170,-3136.0240259066904
63,2006,2185,-7158.511715236515
64,2006,2188,-1654.5224389033883
65,2006,2220,16878.351129830604
66,2006,2240,557.2054328512331
67,2006,2261,18312.65212205903
68,2006,4001,27572.39831081895
69,2006,4003,6994.109125575169
70,2006,4005,14456.880200230416
71,2006,4007,141468.04487971883
72,2006,4009,63293.20139869723
73,2006,4011,-274.2787309237556
74,2006,4012,4123.696843411462
75,2006,4013,-9116.912310707192
76,2006,4015,9719.464424657288
77,2006,4017,29951.2983441939
78,2006,4019,751.2475412140466
79,2006,4021,-1566.4045087590766
80,2006,4023,7236.064651884963
81,2006,4025,-3435.696807696242
82,2006,4027,11051.552287872497
83,2006,5001,-2477.349768812024
84,2006,5005,-662.7090652715833
85,2006,5007,1279.1794097022066
86,2006,5009,11699.874677611604
87,2006,5013,14676.198550721698
88,2006,5015,3752.4845838994243
89,2006,5017,47531.526434737054
90,2006,5025,42388.39708835338
91,2006,5029,11970.113961926707
92,2006,5031,-3811.160658112478
93,2006,5037,-2530.7964474590026
94,2006,5039,-7177.777722043369
95,2006,5047,-15154.17091646905
96,2006,5055,7477.629737475809
97,2006,5057,702.8121030353304
98,2006,5061,-2840.8545747251537
99,2006,5063,4747.194310242705
100,2006,5067,9607.40227817082
101,2006,5069,1925.5612286756714
102,2006,5079,-4791.935453645978
103,2006,5081,-5568.712879616256
104,2006,5087,794.1051549188651
105,2006,5089,6055.688099653833
106,2006,5091,8727.842676971735
107,2006,5093,1159.655289190372
108,2006,5095,-13844.569146880613
109,2006,5097,7661.821664125668
110,2006,5099,60690.05184070559
111,2006,5101,39708.87055682836
112,2006,5103,10437.440217267433
113,2006,5107,12902.609574551798
114,2006,5109,12134.196916939838
115,2006,5111,9254.502329852972
116,2006,5115,16533.861917934148
117,2006,5117,6818.934762031067
118,2006,5119,9076.827682942328
119,2006,5121,-6271.972467539728
120,2006,5123,14153.349771283714
121,2006,5125,-4071.928141891809
122,2006,5127,2860.8144911259096
123,2006,5131,-408.06709645215415
124,2006,5133,5408.155087097561
125,2006,5135,13687.703669658842
126,2006,5137,-6550.735616057338
127,2006,5139,9110.291555126454
128,2006,5141,9389.791914175441
129,2006,5143,9818.922474472387
130,2006,5145,11253.832531568305
131,2006,5147,7638.593941339439
132,2006,5149,-3400.7115678067985
133,2006,6001,25482.367436592634
134,2006,6003,1166.5146937394984
135,2006,6005,-3248.8115059478423
136,2006,6007,-729.6639554848789
137,2006,6009,39026.41909580969
138,2006,6013,-4483.058474275282
139,2006,6015,14972.667194716409
140,2006,6017,10937.367468491788
141,2006,6019,3633.777360462578
142,2006,6021,2205.55838452012
143,2006,6023,5077.236091840681
144,2006,6025,-146.8277824128436
145,2006,6027,13928.273597194793
146,2006,6029,8759.89634055552
147,2006,6031,11270.81507600836
148,2006,6033,6291.501129468403
149,2006,6035,34221.53167636007
150,2006,6037,515.6163252320857
151,2006,6039,18811.98862078225
152,2006,6041,14262.930933624632
153,2006,6043,9651.382133660847
154,2006,6045,-4011.800191859691
155,2006,6047,-1095.1721051252516
156,2006,6049,-697.5664793093365
157,2006,6051,-1327.7478272206226
158,2006,6053,11718.796689466903
159,2006,6055,19653.663186515725
160,2006,6057,-322.0225660914639
161,2006,6059,10273.512388170662
162,2006,6061,85469.9219463113
163,2006,6063,33954.247196553755
164,2006,6065,-4575.850022264351
165,2006,6067,9749.789423853852
166,2006,6071,19637.56559764288
167,2006,6073,111877.96978988261
