,year,FIPS_CODE,pred_grams_hydro
0,2006,1001,19345.72653370167
1,2006,1003,51720.027970749325
2,2006,1005,4034.1119733817823
3,2006,1015,1907.9703451449498
4,2006,1017,7322.1124012404025
5,2006,1023,1353.3672798437387
6,2006,1025,15052.07604300786
7,2006,1037,1690.0538685749573
8,2006,1041,759.1848900498968
9,2006,1043,759.1848900498968
10,2006,1047,12137.074214777009
11,2006,1049,3346.5582587710437
12,2006,1051,34169.14312410191
13,2006,1053,7593.368697640491
14,2006,1055,4137.231398242928
15,2006,1059,2130.87303295571
16,2006,1061,1336.7563071962431
17,2006,1063,2923.5059816084604
18,2006,1065,58488.5105167563
19,2006,1069,1601.4714652630348
20,2006,1071,6186.738791873332
21,2006,1073,36021.76541542826
22,2006,1077,793.9693236448833
23,2006,1079,25629.73291642859
24,2006,1081,2676.5526925269123
25,2006,1083,1589.584448753622
26,2006,1085,15320.620880186509
27,2006,1087,13763.872209147237
28,2006,1089,24537.03982018651
29,2006,1091,1763.6939459293994
30,2006,1093,17314.30054037268
31,2006,1095,1810.974225765276
32,2006,1097,4251.732583100044
33,2006,1099,3400.6773925928283
34,2006,1101,2209.3641522395665
35,2006,1103,3137.787497885305
36,2006,1105,769.7984588597809
37,2006,1107,7353.215326733863
38,2006,1109,967.7371661243403
39,2006,1111,3718.362690923193
40,2006,1113,8623.807170606897
41,2006,1115,9215.822817013743
42,2006,1117,7202.931402243097
43,2006,1119,4283.716527719815
44,2006,1121,8292.303117398698
45,2006,1123,54369.5758614605
46,2006,1125,4442.51310256898
47,2006,1127,2358.602731408527
48,2006,1129,1404.534301665703
49,2006,1131,4582.758917294492
50,2006,1133,4833.759713693313
51,2006,2013,1805.176573611349
52,2006,2016,5425.066992769662
53,2006,2020,34000.03119982776
54,2006,2050,15801.527296719612
55,2006,2068,10635.761090937218
56,2006,2090,17414.96544954307
57,2006,2100,31848.332949249096
58,2006,2110,13582.93691639063
59,2006,2122,4749.713262289103
60,2006,2130,8038.36214571578
61,2006,2150,6874.930360391267
62,2006,2170,957.7764074185121
63,2006,2185,7273.8220064360985
64,2006,2188,8403.975932437414
65,2006,2220,2869.589772130735
66,2006,2240,3323.0854405344107
67,2006,2261,11369.084674650021
68,2006,4001,16759.253011777662
69,2006,4003,9112.004098229225
70,2006,4005,2908.422866859199
71,2006,4007,70265.37827703648
72,2006,4009,30892.43518160569
73,2006,4011,8966.472762454488
74,2006,4012,4468.995100927233
75,2006,4013,949.2199895545658
76,2006,4015,3980.8789608887023
77,2006,4017,26505.910643139854
78,2006,4019,6767.708040055694
79,2006,4021,4417.74540868834
80,2006,4023,1457.2842720162466
81,2006,4025,4788.247379013179
82,2006,4027,1926.0880963895022
83,2006,5001,2637.984230873084
84,2006,5005,4422.080755488045
85,2006,5007,15596.910487819578
86,2006,5009,5726.015811663539
87,2006,5013,2179.51836112524
88,2006,5015,9266.059917965009
89,2006,5017,60225.41182799954
90,2006,5025,17287.01608454943
91,2006,5029,7977.516048643318
92,2006,5031,2444.2843752710733
93,2006,5037,1865.082220924829
94,2006,5039,1404.4928139459741
95,2006,5047,759.1848900498968
96,2006,5055,1329.0297057375988
97,2006,5057,10540.480629620542
98,2006,5061,4423.028096760161
99,2006,5063,41282.518661254966
100,2006,5067,759.1848900498968
101,2006,5069,10187.340829375487
102,2006,5079,821.7332985721624
103,2006,5081,2157.2826525667265
104,2006,5087,5691.640769768093
105,2006,5089,2126.2099897311687
106,2006,5091,759.1848900498968
107,2006,5093,8525.44434933441
108,2006,5095,759.1848900498968
109,2006,5097,926.8811809640969
110,2006,5099,375651.23626610823
111,2006,5101,17731.838018663926
112,2006,5103,2730.019889053746
113,2006,5107,2971.9606619763417
114,2006,5109,1677.7331577745385
115,2006,5111,1755.800569151137
116,2006,5115,2869.589772130735
117,2006,5117,6941.711953647314
118,2006,5119,4539.091881789794
119,2006,5121,1674.941694184113
120,2006,5123,15758.40381347358
121,2006,5125,6834.87590288969
122,2006,5127,7357.655505252844
123,2006,5131,4198.536697371773
124,2006,5133,10924.520529105346
125,2006,5135,4595.950936819199
126,2006,5137,876.3727250857388
127,2006,5139,759.1848900498968
128,2006,5141,3527.316885487306
129,2006,5143,15116.780171920378
130,2006,5145,10020.162160601863
131,2006,5147,8912.430560653123
132,2006,5149,3482.1387910069984
133,2006,6001,16507.458101486656
134,2006,6003,3729.4601002455165
135,2006,6005,3123.9250382768237
136,2006,6007,4786.797393015233
137,2006,6009,22768.485793164236
138,2006,6013,4192.829853780997
139,2006,6015,3117.7206462643558
140,2006,6017,1057.288010638896
141,2006,6019,7719.71652706463
142,2006,6021,4276.5207108231925
143,2006,6023,15005.325334318728
144,2006,6025,1821.6622013909694
145,2006,6027,4895.49295850664
146,2006,6029,18378.597955675625
147,2006,6031,4043.321070207276
148,2006,6033,8013.375753422799
149,2006,6035,30761.047427969752
150,2006,6037,9825.70601219805
151,2006,6039,16114.305469849462
152,2006,6041,3330.535497799754
153,2006,6043,4412.968097324366
154,2006,6045,9073.064045890504
155,2006,6047,5476.359794048967
156,2006,6049,1881.5006031764422
157,2006,6051,14295.074945292512
158,2006,6053,5686.517531018695
159,2006,6055,17157.48479855114
160,2006,6057,2880.9221254148683
161,2006,6059,759.1848900498968
162,2006,6061,59248.841588413874
163,2006,6063,18081.83387962776
164,2006,6065,7232.330638161014
165,2006,6067,759.1848900498968
166,2006,6071,18121.77121076855
167,2006,6073,30292.27246362009
168,2006,6075,4799.58052221547
169,2006,6077,8640.249146350043
170,2006,6079,3641.265052058728
