,year,FIPS_CODE,pred_mort_without_drugs
0,2006,1001,11.747987962396438
1,2006,1003,57.93037281072011
2,2006,1005,3.3580692479921552
3,2006,1015,-7.98279158782241
4,2006,1017,-0.15232712543702576
5,2006,1023,-4.303400065909644
6,2006,1025,0.3978125450665875
7,2006,1037,-5.548765961649869
8,2006,1041,1.9468990455167514
9,2006,1043,-6.060967160542017
10,2006,1047,4.1546982741118645
11,2006,1049,-3.7984639935872
12,2006,1051,33.41936377409201
13,2006,1053,0.37145630662141293
14,2006,1055,-4.06658694893922
15,2006,1059,-5.630604822755869
16,2006,1061,1.6253738007198457
17,2006,1063,-7.232912916006567
18,2006,1065,48.924034726096345
19,2006,1069,2.4295138733219943
20,2006,1071,0.2488072382020885
21,2006,1073,44.52511310946665
22,2006,1077,-7.965439862749074
23,2006,1079,9.077823174079542
24,2006,1081,2.322698019284484
25,2006,1083,-5.846538988608044
26,2006,1085,9.453247799156342
27,2006,1087,5.7576834736633025
28,2006,1089,38.92183036856528
29,2006,1091,-4.9613892803128135
30,2006,1093,5.768343281619418
31,2006,1095,-5.049044803789618
32,2006,1097,-2.5481757910701326
33,2006,1099,-2.341314335709102
34,2006,1101,5.657716710727366
35,2006,1103,3.699769136630019
36,2006,1105,1.495221422195213
37,2006,1107,-0.6860411114537026
38,2006,1109,-6.38919643089679
39,2006,1111,-0.44187533661156664
40,2006,1113,1.0396568457643731
41,2006,1115,4.9074418991156445
42,2006,1117,-0.7870570803414942
43,2006,1119,5.8094819536797555
44,2006,1121,7.1332746661177815
45,2006,1123,83.09749940364036
46,2006,1125,5.244869503559675
47,2006,1127,-2.9149433950962464
48,2006,1129,2.2601768630973034
49,2006,1131,1.1258117594147858
50,2006,1133,-3.0470046868386884
51,2006,2013,-4.554583275041402
52,2006,2016,-1.4557190957472326
53,2006,2020,29.39905865821072
54,2006,2050,0.41363815710446694
55,2006,2068,2.7421547987778068
56,2006,2090,18.457524639307373
57,2006,2100,32.18187261759559
58,2006,2110,4.2781369107177705
59,2006,2122,0.15327445062454537
60,2006,2130,0.5184586309539743
61,2006,2150,4.882284665417579
62,2006,2170,-4.245959971177458
63,2006,2185,-0.977712446771454
64,2006,2188,-1.865559951260476
65,2006,2220,5.615528339085598
66,2006,2240,-3.7302687299268946
67,2006,2261,-1.0099018863700078
68,2006,4001,13.43762546250657
69,2006,4003,3.1325863241680185
70,2006,4005,4.619552852965503
71,2006,4007,205.24592715734906
72,2006,4009,40.16974922407356
73,2006,4011,2.1778220949378246
74,2006,4012,-1.1073092655345977
75,2006,4013,-6.194400661855484
76,2006,4015,2.9016144156645414
77,2006,4017,18.310220492378512
78,2006,4019,-1.0423018533890858
79,2006,4021,-3.3547790660573895
80,2006,4023,1.5004706619812822
81,2006,4025,-3.515018505374437
82,2006,4027,3.034531742485175
83,2006,5001,-2.8894224684024206
84,2006,5005,-3.6687624461796577
85,2006,5007,-0.5914672945685577
86,2006,5009,5.22445452838346
87,2006,5013,4.551238488960513
88,2006,5015,2.7361513575032266
89,2006,5017,29.964411030524374
90,2006,5025,29.839792936803406
91,2006,5029,3.6238060902652425
92,2006,5031,-1.6719869723887442
93,2006,5037,-4.705140872164266
94,2006,5039,-6.128682055290543
95,2006,5047,-7.151914141473773
96,2006,5055,1.3652303455531314
97,2006,5057,4.102091653394419
98,2006,5061,-2.9398962824989496
99,2006,5063,17.767303064652978
100,2006,5067,2.0557927751598353
101,2006,5069,4.514897026392491
102,2006,5079,-4.710270131384908
103,2006,5081,-3.7606205724573076
104,2006,5087,0.041389459556304686
105,2006,5089,-2.1642882580486376
106,2006,5091,1.7444560508823947
107,2006,5093,-0.42352336633191534
108,2006,5095,-7.518862361165473
109,2006,5097,1.4025885380057694
110,2006,5099,45.977213300862324
111,2006,5101,29.96025457466235
112,2006,5103,3.1075798288474843
113,2006,5107,3.9720951758023784
114,2006,5109,3.326389609301623
115,2006,5111,2.5259672602450447
116,2006,5115,5.468928523799887
117,2006,5117,2.4312302098684775
118,2006,5119,0.48722158815605887
119,2006,5121,-3.0066976780090027
120,2006,5123,5.886413237062074
121,2006,5125,0.976230745807614
122,2006,5127,-0.5458012697339036
123,2006,5131,-4.0039797870842815
124,2006,5133,2.3275473032963916
125,2006,5135,4.567617149647967
126,2006,5137,-5.856355670027439
127,2006,5139,1.7768599265558773
128,2006,5141,2.7104407854121444
129,2006,5143,-1.622571048801671
130,2006,5145,6.1940031923915795
131,2006,5147,0.8223261831746651
132,2006,5149,-5.332461450578522
133,2006,6001,17.93679045502892
134,2006,6003,-1.3144987604458187
135,2006,6005,-2.786040624837378
136,2006,6007,-1.3127169245000392
137,2006,6009,21.964581474643026
138,2006,6013,-4.118989091152223
139,2006,6015,4.842300951387054
140,2006,6017,2.786567710146011
141,2006,6019,-1.4524165511136342
142,2006,6021,-1.577337116682699
143,2006,6023,-3.7003916205627174
144,2006,6025,-3.5244931253558125
145,2006,6027,5.026842482783005
146,2006,6029,6.095939015142934
147,2006,6031,3.5578563958747615
148,2006,6033,4.865845733102736
149,2006,6035,40.25202660396506
150,2006,6037,1.1640964664434463
151,2006,6039,8.370144820979508
152,2006,6041,4.611548148417766
153,2006,6043,3.697901602067187
154,2006,6045,-0.603850008897437
155,2006,6047,-3.0907395617067053
156,2006,6049,-2.9871183381400073
157,2006,6051,-0.3390494737502898
158,2006,6053,5.16753050517233
159,2006,6055,10.687714568293885
160,2006,6057,-3.2515500786902916
161,2006,6059,2.4177882840505767
162,2006,6061,64.68693924450619
163,2006,6063,13.897090323543145
