,year,FIPS_CODE,pred_grams_oxy
0,2006,1001,20375.056054782814
1,2006,1003,99072.2241588991
2,2006,1005,13737.423120639316
3,2006,1015,-23147.51557280001
4,2006,1017,2229.9786491682316
5,2006,1023,-10577.953294174775
6,2006,1025,37.99528336579897
7,2006,1037,-15287.915626000831
8,2006,1041,11432.445849363881
9,2006,1043,-13909.818166226236
10,2006,1047,7837.692828607105
11,2006,1049,-4565.547845694324
12,2006,1051,17285.445010810276
13,2006,1053,-994.3856984774466
14,2006,1055,-4681.42531491664
15,2006,1059,-7197.085553445846
16,2006,1061,9049.922001570245
17,2006,1063,-13486.366731639006
18,2006,1065,121656.93236447347
19,2006,1069,11398.099682376647
20,2006,1071,14587.983350468276
21,2006,1073,66447.78885348188
22,2006,1077,-18431.039095585147
23,2006,1079,-10459.734567972235
24,2006,1081,10336.63219247543
25,2006,1083,-21046.489809867482
26,2006,1085,27975.30374839912
27,2006,1087,26154.255622935176
28,2006,1089,16464.20618202162
29,2006,1091,-11383.702265205706
30,2006,1093,27309.95296088908
31,2006,1095,-12208.55220363036
32,2006,1097,3597.8406185560816
33,2006,1099,-1680.2427062772767
34,2006,1101,23462.654931284735
35,2006,1103,15851.24389411832
36,2006,1105,9326.451842537455
37,2006,1107,16513.621107337807
38,2006,1109,-11779.926120159915
39,2006,1111,10245.101570675164
40,2006,1113,8537.250849637763
41,2006,1115,18346.958349053974
42,2006,1117,3241.338691000019
43,2006,1119,23184.586971287747
44,2006,1121,29293.625769249687
45,2006,1123,98940.50494826614
46,2006,1125,21086.630177983243
47,2006,1127,-9280.740273815107
48,2006,1129,11410.15086044911
49,2006,1131,135.1398448918917
50,2006,1133,-2060.437955223795
51,2006,2013,-11785.510307307144
52,2006,2016,-3198.1465846518986
53,2006,2020,73943.78633187193
54,2006,2050,12524.322970448862
55,2006,2068,15207.729073259936
56,2006,2090,42534.02843185284
57,2006,2100,42183.1796028004
58,2006,2110,304.09889136933634
59,2006,2122,3752.830964583445
60,2006,2130,-213.14548110082978
61,2006,2150,28485.797531498298
62,2006,2170,-5481.061457943579
63,2006,2185,-14005.53716666087
64,2006,2188,-1195.7931077625399
65,2006,2220,22931.1227261537
66,2006,2240,517.4289134995488
67,2006,2261,28997.661657484852
68,2006,4001,45047.445181738294
69,2006,4003,9384.552650761572
70,2006,4005,19260.260819025003
71,2006,4007,224076.1114689752
72,2006,4009,81652.75309379626
73,2006,4011,-371.561535446177
74,2006,4012,3720.7785663091927
75,2006,4013,-14033.842730557888
76,2006,4015,12166.303710396998
77,2006,4017,34321.18318232462
78,2006,4019,-179.32349200651515
79,2006,4021,-1719.9627258243636
80,2006,4023,8257.009035252355
81,2006,4025,-5276.568604071203
82,2006,4027,14027.715567895182
83,2006,5001,-4152.136175142303
84,2006,5005,-2329.1825381565795
85,2006,5007,-6367.680902647822
86,2006,5009,15742.736869362612
87,2006,5013,19532.389844578982
88,2006,5015,6427.198344524702
89,2006,5017,69961.71210430686
90,2006,5025,54506.65552300059
91,2006,5029,18930.872743595217
92,2006,5031,-6071.3338334849395
93,2006,5037,-4802.5025601421585
94,2006,5039,-11333.70124149874
95,2006,5047,-22444.63035886339
96,2006,5055,8533.900968626971
97,2006,5057,-551.8894959920581
98,2006,5061,-3416.765700301221
99,2006,5063,3289.2617347009946
100,2006,5067,11691.963536796291
101,2006,5069,548.9017343927044
102,2006,5079,-7891.405504472721
103,2006,5081,-8171.412624708173
104,2006,5087,1578.185024607068
105,2006,5089,9860.787107496551
106,2006,5091,10377.783839837895
107,2006,5093,1381.5482623495263
108,2006,5095,-20852.185664750737
109,2006,5097,8798.509613411545
110,2006,5099,103076.12425986485
111,2006,5101,42862.92532754736
112,2006,5103,13220.71504056397
113,2006,5107,16900.932548954326
114,2006,5109,15610.548822257726
115,2006,5111,11391.235400670223
116,2006,5115,22407.0211523919
117,2006,5117,8316.853472642055
118,2006,5119,14016.734709095173
119,2006,5121,-9234.329538171565
120,2006,5123,22061.487549197023
121,2006,5125,-6660.8780414801
122,2006,5127,5744.684726436542
123,2006,5131,-555.8322139094671
124,2006,5133,9654.136360533106
125,2006,5135,18194.887682814733
126,2006,5137,-10347.438854298467
127,2006,5139,10910.0123765217
128,2006,5141,11645.374313708744
129,2006,5143,8836.472277381858
130,2006,5145,18761.815138720114
131,2006,5147,8869.910658132008
132,2006,5149,-6721.586258844247
133,2006,6001,32682.8972312362
134,2006,6003,2106.22663995366
135,2006,6005,-5983.777482375139
136,2006,6007,-1539.703791385131
137,2006,6009,56356.1241275284
138,2006,6013,-7435.765401479141
139,2006,6015,20046.210469815647
140,2006,6017,13778.09507293212
141,2006,6019,5779.091274385326
142,2006,6021,1905.855144827634
143,2006,6023,6458.833894968237
144,2006,6025,-1211.3654743507286
145,2006,6027,18696.740689765284
146,2006,6029,13845.726355665789
147,2006,6031,14525.00682947367
148,2006,6033,10642.203446427811
149,2006,6035,35283.82275616459
150,2006,6037,-534.4917926949347
151,2006,6039,28306.035129727403
152,2006,6041,18993.56317958227
153,2006,6043,12376.901785145441
154,2006,6045,-6001.665437508433
155,2006,6047,-1039.8143444064044
156,2006,6049,-1797.0666288134162
157,2006,6051,-6339.951443567221
158,2006,6053,15746.787971596
159,2006,6055,27641.26297173073
160,2006,6057,-251.5715737063365
161,2006,6059,12735.27069980248
162,2006,6061,142582.9807711471
163,2006,6063,34403.05118557744
164,2006,6065,-4882.286074469193
165,2006,6067,11947.622000023184
166,2006,6071,27768.669393415625
167,2006,6073,144581.6156166558
168,2006,6075,18445.00644168885
