,year,FIPS_CODE,pred_qty_hydro
0,2006,1001,18159.880459838834
1,2006,1003,58775.35382133343
2,2006,1005,4115.547894580643
3,2006,1015,2465.980103156205
4,2006,1017,6280.352671821625
5,2006,1023,1172.278806377623
6,2006,1025,13448.679377978573
7,2006,1037,1517.146866540508
8,2006,1041,771.4741981341263
9,2006,1043,727.6615089802393
10,2006,1047,9258.172710656609
11,2006,1049,2918.68330493982
12,2006,1051,34977.12529786271
13,2006,1053,6114.915413704299
14,2006,1055,4839.200341128793
15,2006,1059,1855.591881319369
16,2006,1061,1269.9464947281585
17,2006,1063,3200.950845627867
18,2006,1065,61683.06202549039
19,2006,1069,1520.1230152667208
20,2006,1071,4740.694243870595
21,2006,1073,41364.20403710629
22,2006,1077,727.6615089802393
23,2006,1079,27836.53472344163
24,2006,1081,2422.2413769603836
25,2006,1083,1625.6690525411852
26,2006,1085,11701.009635000182
27,2006,1087,12910.394891221376
28,2006,1089,28673.217951531253
29,2006,1091,1827.252526936029
30,2006,1093,15466.750878932231
31,2006,1095,1726.5039844599023
32,2006,1097,4332.685113437795
33,2006,1099,3212.7859752254253
34,2006,1101,2026.5658963310284
35,2006,1103,2531.5679432960455
36,2006,1105,727.6615089802393
37,2006,1107,8280.221957625328
38,2006,1109,771.2572559697844
39,2006,1111,2724.7125479669603
40,2006,1113,7625.417278714409
41,2006,1115,8193.12828934856
42,2006,1117,6264.754904180807
43,2006,1119,4158.5184074235
44,2006,1121,8456.043073118497
45,2006,1123,60670.39783492474
46,2006,1125,4254.7867050821815
47,2006,1127,2052.564067040606
48,2006,1129,1326.2928036945127
49,2006,1131,4447.094092120432
50,2006,1133,4616.211013057033
51,2006,2013,1892.9855072706748
52,2006,2016,6002.544828445759
53,2006,2020,29954.77092337096
54,2006,2050,9278.636151782575
55,2006,2068,8639.235051243764
56,2006,2090,17143.56702945052
57,2006,2100,32920.77681203701
58,2006,2110,14721.650191151639
59,2006,2122,4599.011009543446
60,2006,2130,5808.5908306718575
61,2006,2150,6272.522654477695
62,2006,2170,996.0777824378159
63,2006,2185,8138.062928405316
64,2006,2188,5603.39588821584
65,2006,2220,2359.2071034005535
66,2006,2240,2919.7424748040708
67,2006,2261,8064.580411078871
68,2006,4001,15508.951885244507
69,2006,4003,8139.402124264286
70,2006,4005,2408.592752529665
71,2006,4007,97197.7332350508
72,2006,4009,34498.35518677866
73,2006,4011,8252.537476944099
74,2006,4012,4867.810204242978
75,2006,4013,1143.7406024366637
76,2006,4015,4087.4254027886454
77,2006,4017,28333.382838042333
78,2006,4019,5435.227792594586
79,2006,4021,4541.589396627315
80,2006,4023,1387.3460616121579
81,2006,4025,4815.175621945645
82,2006,4027,1851.094975095225
83,2006,5001,2278.0974404381946
84,2006,5005,4841.350621716756
85,2006,5007,16277.728573681035
86,2006,5009,5738.32474970374
87,2006,5013,2026.5658963310284
88,2006,5015,7411.794236023088
89,2006,5017,39274.645302979705
90,2006,5025,20643.249393762726
91,2006,5029,7493.8392937969065
92,2006,5031,2789.5502531052693
93,2006,5037,1865.6784747613049
94,2006,5039,1399.3319537014554
95,2006,5047,727.6615089802393
96,2006,5055,1186.737637424486
97,2006,5057,11024.066042303319
98,2006,5061,4881.266952365617
99,2006,5063,38762.00033679584
100,2006,5067,727.6615089802393
101,2006,5069,9931.362162248499
102,2006,5079,733.997859956055
103,2006,5081,2009.7363362749268
