,year,state_fips_code,county_fips_code,pred_qty_oxy
140,2013,13,117,166987.7264180251
141,2013,13,147,59092.409274073776
142,2013,13,185,148629.38324685206
143,2013,13,199,54182.879130426234
144,2013,13,237,54934.930618527746
145,2013,13,261,64604.35361807971
146,2013,13,301,57325.60748057363
147,2013,13,7,56505.66154290853
148,2013,13,35,50576.44266457261
149,2013,13,43,56311.736322847304
150,2013,13,45,146763.38314299838
151,2013,13,99,57051.536110994115
152,2013,13,81,62625.18694056485
153,2013,13,77,169720.24210913188
154,2013,13,67,240635.91350640784
155,2013,13,83,32929.675413695106
156,2013,13,317,57531.84753956555
157,2013,13,27,55364.973263347485
158,2013,13,129,64908.26681324658
159,2013,13,105,58657.15078397411
160,2013,13,165,59666.48507009527
161,2013,13,217,155925.42357600492
162,2013,13,133,50212.63761367997
163,2013,13,71,64476.322953269526
164,2013,13,85,49336.530618527744
165,2013,13,63,192062.07206476625
166,2013,13,139,175657.8833642964
167,2013,15,3,407811.078
168,2013,15,9,214840.00999954354
169,2013,16,71,25489.348866538705
170,2013,16,45,49365.63038674166
171,2013,16,85,34783.47811703979
172,2013,16,3,39451.341125626524
173,2013,19,193,134759.36723295125
174,2013,19,97,27075.099511195258
175,2013,19,111,54207.065458087985
176,2013,19,181,55411.263832519704
177,2013,19,149,44853.33704605051
178,2013,19,41,31591.24816674911
179,2013,19,55,25716.87885019117
180,2013,19,185,25649.526339592525
181,2013,19,163,156872.52962750956
182,2013,20,181,33612.90689195641
183,2013,20,193,26715.256411037146
184,2013,20,127,26831.779151152357
185,2013,20,163,25404.057979806737
186,2013,20,25,24739.89231703317
187,2013,20,77,25772.052979806736
188,2013,20,111,56781.05539433391
189,2013,20,145,43566.62837276717
190,2013,20,33,23365.211841566917
191,2013,20,63,23786.290619785454
192,2013,20,79,55312.372715859
193,2013,20,69,40447.729261541965
194,2013,20,17,30829.738230896564
195,2013,20,67,43455.62403149052
196,2013,20,109,24873.50811978546
197,2013,20,149,42532.12310325992
198,2013,20,15,115597.89721107279
199,2013,20,169,60056.801832519704
200,2013,20,197,24850.345434830622
201,2013,13,113,161759.30759438837
202,2013,20,207,19003.158034741344
203,2013,20,141,18850.362928187213
204,2013,20,55,52397.310345412756
205,2013,20,97,24370.618745604595
206,2013,20,201,24921.843151152356
207,2013,20,129,28318.550512207807
208,2013,20,9,47189.0648057302
209,2013,20,43,28475.723253502223
210,2013,20,101,24180.586578045208
211,2013,20,115,29585.70442437406
212,2013,20,13,43208.15791507996
213,2013,20,161,62227.1890330617
214,2013,20,41,44032.74310411344
215,2013,21,79,39711.41600560897
